Variable,Importance
mean_tmax_deg_c_Mar,5.624570626872364
mean_tmin_deg_c_Nov,1.6938720083436425
om_pct,1.2749196050555383
mean_srad_w_m_2_Jan,1.1701063049399896
mean_vp_pa_Mar,0.9783843416419553
mean_vp_pa_Apr,0.7925548632188323
sum_prcp_mm_day_Jan,0.7837370453417447
sum_prcp_mm_day_Sep,0.6318318462673496
mean_tmin_deg_c_Feb,0.5494783942365665
sum_prcp_mm_day_Nov,0.5035001287127366
sum_prcp_mm_day_Oct,0.4206276062232588
mean_tmax_deg_c_Sep,0.39223200417170545
sum_prcp_mm_day_Feb,0.38128796402767834
mean_vp_pa_May,0.3646971571055765
mean_tmin_deg_c_Jun,0.3588347132234771
mean_vp_pa_Jun,0.34590693447816334
mean_vp_pa_Nov,0.3157877003977726
soilpH,0.3132072714162727
mean_tmax_deg_c_Nov,0.29798992730489493
sum_prcp_mm_day_Jun,0.29200905936915067
sum_prcp_mm_day_Jul,0.28564169785385213
sum_prcp_mm_day_Aug,0.27422373716433834
mean_tmin_deg_c_Mar,0.27158245605692305
mean_tmax_deg_c_Jan,0.2626391003108919
soilp_ppm,0.251730427095773
sum_prcp_mm_day_Apr,0.24210033089429372
mean_srad_w_m_2_Feb,0.23811669940209848
mean_tmin_deg_c_Apr,0.23755287977388218
mean_srad_w_m_2_Jun,0.21273309218756137
soilk_ppm,0.18662024465891733
sum_prcp_mm_day_Mar,0.18267106606161898
mean_vp_pa_Jul,0.1719367608763291
mean_vp_pa_Feb,0.16975589785122622
mean_tmax_deg_c_Jul,0.16196340388862718
mean_srad_w_m_2_Aug,0.1586462917021604
mean_tmin_deg_c_May,0.14407862757147646
sum_prcp_mm_day_May,0.1281144848444629
mean_tmin_deg_c_Jul,0.12102191572917413
mean_srad_w_m_2_Oct,0.10813773180466967
sum_prcp_mm_day_Dec,0.10762593335683425
mean_vp_pa_Oct,0.10430682159568881
mean_tmin_deg_c_Oct,0.10320678261229069
mean_srad_w_m_2_Jul,0.09729522887203525
mean_tmin_deg_c_Jan,0.09337667112376564
mean_tmin_deg_c_Sep,0.09308259831431792
mean_srad_w_m_2_Sep,0.08977979384583154
mean_tmin_deg_c_Aug,0.08916324256463988
mean_srad_w_m_2_Mar,0.08501858604317326
mean_srad_w_m_2_May,0.07571929976125837
mean_tmax_deg_c_Apr,0.07548311331090367
mean_vp_pa_Aug,0.07211365875495894
mean_srad_w_m_2_Dec,0.060830462075010715
mean_tmax_deg_c_Oct,0.059987422454831726
mean_tmax_deg_c_May,0.058709648855444996
mean_vp_pa_Jan,0.05866428879833227
mean_tmax_deg_c_Feb,0.05848288484206547
mean_srad_w_m_2_Apr,0.05758143538093067
mean_dayl_s_Sep,0.055979283279974215
mean_dayl_s_Mar,0.04965423206722819
mean_tmin_deg_c_Dec,0.04964266740225272
mean_tmax_deg_c_Dec,0.04709386035886084
mean_tmax_deg_c_Aug,0.047025801129067235
mean_tmax_deg_c_Jun,0.04236025776487909
mean_vp_pa_Sep,0.04183891287614298
mean_dayl_s_Feb,0.03709677154885632
mean_srad_w_m_2_Nov,0.03392430682544641
mean_dayl_s_Aug,0.029159524517905176
mean_dayl_s_Jul,0.025866747075783143
mean_dayl_s_Oct,0.024958119281338197
mean_vp_pa_Dec,0.024933029154327154
mean_dayl_s_Jun,0.023696309996854504
mean_dayl_s_Apr,0.021774850497344726
mean_dayl_s_Nov,0.018272390877182458
mean_dayl_s_Jan,0.018237025592211926
mean_dayl_s_May,0.017119059607864005
mean_dayl_s_Dec,0.010629644699378731
